Type,Strike,Moneyness,Price,Volume,Open Int
Call,3600,9.32%,407.2,0,3
Call,3625,8.69%,384.9,0,0
Call,3650,8.06%,363.1,0,0
Call,3675,7.43%,341.5,0,4
Call,3680,7.31%,337.3,0,0
Call,3690,7.05%,328.9,0,0
Call,3700,6.80%,320.3,0,10
Call,3710,6.55%,312,0,0
Call,3720,6.30%,303.7,0,0
Call,3725,6.17%,299.6,0,0
Call,3730,6.05%,295.5,40,0
Call,3740,5.79%,287.3,0,0
Call,3750,5.54%,279.2,0,0
Call,3760,5.29%,271.2,0,0
Call,3770,5.04%,263.4,40,0
Call,3775,4.91%,259.3,0,0
Call,3780,4.79%,255.4,0,0
Call,3790,4.53%,247.7,0,0
Call,3800,4.28%,240,0,21
Call,3810,4.03%,232.2,0,0
Call,3820,3.78%,224.7,0,0
Call,3825,3.65%,220.9,0,0
Call,3830,3.53%,217.2,0,0
Call,3840,3.28%,209.8,0,0
Call,3850,3.02%,202.4,0,2
Call,3860,2.77%,195.2,0,1
Call,3870,2.52%,188.1,0,5
Call,3875,2.39%,184.5,0,0
Call,3880,2.27%,181,0,22
Call,3890,2.02%,174.1,0,3
Call,3900,1.76%,167.2,2,126
Call,3910,1.51%,160.5,0,2
Call,3920,1.26%,153.9,5,9
Call,3925,1.13%,150.5,4,1
Call,3930,1.01%,146.7,0,0
Call,3940,0.76%,140.3,12,2
Call,3950,0.50%,134.1,36,6
Call,3960,0.25%,127.9,9,5
Call,3970,unch,121.9,1,4
Call,3975,-0.12%,118.9,4,12
Call,3980,-0.25%,116,5,2
Call,3990,-0.50%,110.2,12,10
Call,4000,-0.75%,104.6,1,283
Call,4010,-1.01%,99.1,4,29
Call,4020,-1.26%,93.7,0,102
Call,4025,-1.38%,91.1,0,78
Call,4030,-1.51%,88.6,4,41
Call,4040,-1.76%,83.5,0,14
Call,4050,-2.01%,78.7,3,56
Call,4060,-2.27%,74,0,80
Call,4070,-2.52%,69.4,18,74
Call,4075,-2.64%,67.2,6,26
Call,4080,-2.77%,65.1,22,19
Call,4090,-3.02%,60.9,0,137
Call,4100,-3.27%,56.8,13,39
Call,4110,-3.53%,53,22,59
Call,4120,-3.78%,49.3,30,40
Call,4125,-3.90%,47.5,8,45
Call,4130,-4.03%,45.8,5,57
Call,4140,-4.28%,42.4,2,45
Call,4150,-4.53%,39.2,6,78
Call,4160,-4.78%,36.2,20,81
Call,4170,-5.04%,33.4,5,42
Call,4175,-5.16%,32,2,52
Call,4180,-5.29%,30.7,2,18
Call,4190,-5.54%,28.2,0,31
Call,4200,-5.79%,25.8,31,65
Call,4210,-6.04%,23.6,11,86
Call,4220,-6.30%,21.5,4,64
Call,4225,-6.42%,20.6,1,55
Call,4230,-6.55%,19.6,2,34
Call,4240,-6.80%,17.8,12,48
Call,4250,-7.05%,16.2,9,79
Call,4260,-7.30%,14.7,2,10
Call,4270,-7.56%,13.2,14,29
Call,4275,-7.68%,12.7,8,52
Call,4280,-7.81%,12.1,7,16
Call,4290,-8.06%,10.8,10,41
Call,4300,-8.31%,9.7,94,197
Call,4310,-8.56%,8.8,13,16
Call,4325,-8.94%,7.5,11,11
Call,4350,-9.57%,5.7,59,174
Call,4400,-10.83%,3.3,94,209
Call,4450,-12.09%,1.95,1,872
Call,4500,-13.35%,1.2,7,140
Call,4600,-15.87%,0.5,4,252
Call,4800,-20.91%,0.2,0,18
Call,5000,-25.94%,0.15,0,65
Call,5200,-30.98%,0.1,0,13
